Date,Close
02-05-2023,35313.359375
03-05-2023,35885.77734375
04-05-2023,36114.3125
05-05-2023,36082.62890625
08-05-2023,36194.01171875
09-05-2023,36067.7265625
10-05-2023,36476.82421875
11-05-2023,37222.203125
12-05-2023,36767.671875
15-05-2023,37303.54296875
16-05-2023,37589.52734375
17-05-2023,37198.26171875
18-05-2023,39932.38671875
19-05-2023,38810.1953125
22-05-2023,39248.28515625
23-05-2023,39646.203125
24-05-2023,39617.6015625
25-05-2023,39699.28515625
26-05-2023,39742.88671875
29-05-2023,39486.55078125
30-05-2023,40012.3359375
31-05-2023,39781.37890625
01-06-2023,39933.28125
02-06-2023,40966.5859375
05-06-2023,40851.921875
06-06-2023,40620.859375
07-06-2023,40779.8671875
08-06-2023,40736.4140625
09-06-2023,40565.38671875
12-06-2023,40740.13671875
13-06-2023,40952.6796875
14-06-2023,41616.3203125
15-06-2023,41707.24609375
16-06-2023,41753.6796875
19-06-2023,42109.484375
20-06-2023,42344.3671875
21-06-2023,42358.87109375
22-06-2023,41842.56640625
23-06-2023,41244.02734375
26-06-2023,41261.4609375
27-06-2023,41252.8671875
28-06-2023,41489.54296875
30-06-2023,41394.7421875
03-07-2023,41517.89453125
04-07-2023,42290.09375
05-07-2023,42203.1875
06-07-2023,42194.99609375
07-07-2023,42454.9609375
10-07-2023,43074.01171875
11-07-2023,43622.58984375
12-07-2023,43298.51171875
13-07-2023,42923.33984375
14-07-2023,42936.35546875
17-07-2023,42809.67578125
18-07-2023,43016.94921875
19-07-2023,42431.0234375
20-07-2023,42291.8828125
21-07-2023,42327.5859375
24-07-2023,41743.7421875
25-07-2023,42308.0234375
26-07-2023,42007.13671875
27-07-2023,41748.7109375
28-07-2023,41713.69921875
31-07-2023,42699.6796875
01-08-2023,42939.53125
02-08-2023,42632.98828125
03-08-2023,41994.59765625
04-08-2023,42132.26171875
07-08-2023,42169.08984375
08-08-2023,41959.9609375
09-08-2023,41651.54296875
10-08-2023,42287.83984375
11-08-2023,41836.78125
14-08-2023,40928.84765625
16-08-2023,40492.56640625
17-08-2023,40221.02734375
18-08-2023,39998.265625
21-08-2023,40268.55859375
22-08-2023,40022.74609375
23-08-2023,40155.78125
24-08-2023,40584.58984375
25-08-2023,40021.5546875
28-08-2023,40129.3046875
29-08-2023,40241.63671875
30-08-2023,39935.25390625
31-08-2023,39460.60546875
01-09-2023,39215.64453125
04-09-2023,39185.2890625
05-09-2023,39051.703125
06-09-2023,38968.08984375
07-09-2023,38960.33203125
08-09-2023,38844.46875
11-09-2023,39185.3359375
12-09-2023,39756.9296875
13-09-2023,39162.9375
14-09-2023,39171.0546875
15-09-2023,39825.4140625
18-09-2023,39813.41796875
20-09-2023,40443.296875
21-09-2023,40016.02734375
22-09-2023,40661.3359375
25-09-2023,40429.61328125
26-09-2023,40650.0390625
27-09-2023,40339.28125
28-09-2023,38960.4296875
29-09-2023,39669.6875
03-10-2023,39642.4140625
04-10-2023,39130.19140625
05-10-2023,39041.703125
06-10-2023,38805.19921875
09-10-2023,38276.50390625
10-10-2023,38256.05078125
11-10-2023,38284.265625
12-10-2023,38203.640625
13-10-2023,37875.4140625
16-10-2023,37698.484375
17-10-2023,37864.86328125
18-10-2023,37692.55859375
19-10-2023,37307.15234375
20-10-2023,37009.4296875
23-10-2023,37199.25390625
25-10-2023,37048.453125
26-10-2023,35972.73828125
27-10-2023,36050.83203125
30-10-2023,35879.921875
31-10-2023,35831.24609375
01-11-2023,35742.2109375
02-11-2023,35966.12109375
03-11-2023,36978.7265625
06-11-2023,37093.8359375
07-11-2023,37007.640625
08-11-2023,37355.62109375
09-11-2023,37263.8984375
10-11-2023,37169.2890625
13-11-2023,36838.0234375
15-11-2023,35735.83984375
16-11-2023,36835.734375
17-11-2023,37042.6796875
20-11-2023,36758.9921875
21-11-2023,36707.58203125
22-11-2023,36608.98828125
23-11-2023,36588.734375
24-11-2023,36593.109375
28-11-2023,36490.8359375
29-11-2023,36475.55859375
30-11-2023,36484.16796875
01-12-2023,36510.296875
04-12-2023,36445.69921875
05-12-2023,36251.4453125
06-12-2023,36058.7421875
07-12-2023,36373.58203125
08-12-2023,36099.40234375
11-12-2023,36085.01953125
12-12-2023,35816.9609375
13-12-2023,35760.078125
14-12-2023,35461.91015625
15-12-2023,35204.109375
18-12-2023,35528.953125
19-12-2023,35181.4140625
20-12-2023,35312.60546875
21-12-2023,35003.9375
22-12-2023,34947.19921875
26-12-2023,35570.90234375
27-12-2023,35160.26171875
28-12-2023,36761.234375
29-12-2023,36676.82421875
01-01-2024,37316.85546875
02-01-2024,36837.3828125
03-01-2024,36546.7265625
04-01-2024,36512.23828125
05-01-2024,36684.98828125
08-01-2024,37168.4921875
09-01-2024,37636.3203125
10-01-2024,36645.37109375
11-01-2024,36655.671875
12-01-2024,36563.8984375
15-01-2024,36863.40625
16-01-2024,37068.11328125
17-01-2024,37089.26171875
18-01-2024,37234.5390625
19-01-2024,37343.28125
23-01-2024,37672.50390625
24-01-2024,38478.9609375
25-01-2024,38518.62890625
29-01-2024,38394.10546875
30-01-2024,38547.7890625
31-01-2024,38508.82421875
01-02-2024,38525.84765625
02-02-2024,38627.7734375
05-02-2024,38171.88671875
06-02-2024,38240.01953125
07-02-2024,38206.625
08-02-2024,38465.921875
09-02-2024,38357.4765625
12-02-2024,37648.01953125
13-02-2024,37475.37109375
14-02-2024,37825.046875
15-02-2024,38087.828125
16-02-2024,38196.91796875
19-02-2024,37789.36328125
20-02-2024,36943.140625
21-02-2024,37339.6484375
22-02-2024,37338.8515625
23-02-2024,38011.58203125
26-02-2024,37942.3984375
27-02-2024,38189.90234375
28-02-2024,37786.625
29-02-2024,37755.46875
01-03-2024,38003.46875
04-03-2024,38276.453125
05-03-2024,37824.8984375
06-03-2024,37455.21484375
07-03-2024,37760.49609375
11-03-2024,37117.6796875
12-03-2024,36915.01953125
13-03-2024,36274.29296875
14-03-2024,36620.3359375
15-03-2024,38064.38671875
18-03-2024,38009.33984375
19-03-2024,37865.5078125
20-03-2024,37321.93359375
21-03-2024,36880.52734375
22-03-2024,37224.0859375
26-03-2024,37369.95703125
27-03-2024,37665.734375
28-03-2024,38508.57421875
01-04-2024,38371.76171875
02-04-2024,39541.63671875
03-04-2024,40372.125
04-04-2024,40697.3671875
05-04-2024,41974.296875
08-04-2024,42659.21484375
09-04-2024,42846.0
10-04-2024,43651.265625
12-04-2024,44087.6875
15-04-2024,44156.22265625
16-04-2024,44521.72265625
18-04-2024,43582.58203125
19-04-2024,43886.72265625
22-04-2024,44552.484375
23-04-2024,44631.6171875
24-04-2024,44616.93359375
25-04-2024,44730.70703125
26-04-2024,44993.1875
29-04-2024,45011.90234375
30-04-2024,44930.08203125
02-05-2024,44743.19921875
03-05-2024,44094.85546875
06-05-2024,44052.0
07-05-2024,43934.796875
08-05-2024,43731.890625
09-05-2024,43055.52734375
10-05-2024,46606.94921875
13-05-2024,47059.1015625
14-05-2024,47605.46875
15-05-2024,49057.828125
16-05-2024,55480.08203125
17-05-2024,52667.62890625
21-05-2024,53041.54296875
22-05-2024,52741.63671875
23-05-2024,53123.31640625
24-05-2024,51724.703125
27-05-2024,50696.171875
28-05-2024,51657.9140625
29-05-2024,51967.37890625
30-05-2024,51872.96484375
31-05-2024,51187.09765625
03-06-2024,52988.14453125
04-06-2024,49566.16796875
05-06-2024,50439.96484375
06-06-2024,51789.90234375
07-06-2024,52074.08203125
10-06-2024,52936.328125
11-06-2024,53151.58203125
12-06-2024,54263.2265625
13-06-2024,54316.23046875
14-06-2024,57659.26953125
18-06-2024,56705.1484375
19-06-2024,54931.67578125
20-06-2024,55168.2265625
21-06-2024,55283.390625
24-06-2024,56942.546875
25-06-2024,57636.67578125
26-06-2024,57127.63671875
27-06-2024,56814.08984375
28-06-2024,56449.28125
01-07-2024,56410.41015625
02-07-2024,56525.625
03-07-2024,56240.69921875
04-07-2024,58357.328125
05-07-2024,57315.11328125
08-07-2024,57254.84375
09-07-2024,56513.43359375
10-07-2024,56706.6875
11-07-2024,56755.265625
12-07-2024,56249.7109375
15-07-2024,55879.921875
16-07-2024,55986.58203125
18-07-2024,54788.33984375
19-07-2024,53151.484375
22-07-2024,53846.80859375
23-07-2024,53253.91015625
24-07-2024,54081.07421875
25-07-2024,53681.4296875
26-07-2024,54303.76171875
29-07-2024,53841.734375
30-07-2024,53801.25
31-07-2024,54306.94921875
01-08-2024,53971.92578125
02-08-2024,53778.8125
05-08-2024,52951.1953125
06-08-2024,51017.0859375
07-08-2024,51432.19140625
08-08-2024,51336.35546875
09-08-2024,51808.75390625
12-08-2024,50866.85546875
13-08-2024,51157.09765625
14-08-2024,50934.71484375
16-08-2024,51242.765625
19-08-2024,51900.94921875
20-08-2024,51874.46875
21-08-2024,52253.921875
22-08-2024,52068.734375
23-08-2024,52130.7109375
26-08-2024,52065.4921875
27-08-2024,52200.0703125
28-08-2024,50714.921875
29-08-2024,50862.56640625
30-08-2024,50828.55859375
02-09-2024,50043.7265625
03-09-2024,50606.671875
04-09-2024,50161.55078125
05-09-2024,49588.9296875
06-09-2024,48889.86328125
09-09-2024,49348.05078125
10-09-2024,50115.328125
11-09-2024,51107.734375
12-09-2024,51159.74609375
13-09-2024,50301.1171875
16-09-2024,49440.2421875
17-09-2024,49824.68359375
18-09-2024,49506.11328125
19-09-2024,49484.12109375
20-09-2024,49423.4375
23-09-2024,49308.30859375
24-09-2024,49680.7265625
25-09-2024,49403.79296875
26-09-2024,49072.2109375
27-09-2024,48706.171875
30-09-2024,48844.58984375
01-10-2024,49215.7109375
03-10-2024,48453.51953125
04-10-2024,48090.171875
07-10-2024,47323.140625
08-10-2024,48065.5390625
09-10-2024,49280.984375
10-10-2024,49982.6953125
11-10-2024,50165.08984375
14-10-2024,49903.265625
15-10-2024,49639.69140625
16-10-2024,49561.85546875
17-10-2024,49432.61328125
18-10-2024,51535.10546875
21-10-2024,51436.03125
22-10-2024,51174.90234375
23-10-2024,50477.328125
24-10-2024,50383.9375
25-10-2024,49230.47265625
28-10-2024,48705.57421875
29-10-2024,48832.37109375
30-10-2024,45068.81640625
31-10-2024,45645.2265625
01-11-2024,46163.640625
04-11-2024,45272.75390625
05-11-2024,44889.11328125
06-11-2024,45031.47265625
07-11-2024,44252.76953125
08-11-2024,43640.91015625
11-11-2024,43527.72265625
12-11-2024,43112.47265625
13-11-2024,41872.09765625
14-11-2024,41988.875
18-11-2024,41500.4765625
19-11-2024,41885.359375
21-11-2024,41082.17578125
22-11-2024,40906.7109375
25-11-2024,41298.9296875
26-11-2024,41346.9453125
27-11-2024,41296.6875
28-11-2024,40834.1640625
29-11-2024,40722.671875
02-12-2024,40637.2578125
03-12-2024,41047.07421875
04-12-2024,40743.015625
05-12-2024,40879.88671875
06-12-2024,40475.15625
09-12-2024,40664.28515625
10-12-2024,41276.29296875
11-12-2024,41584.83984375
12-12-2024,40769.7421875
13-12-2024,40590.3359375
16-12-2024,40761.515625
17-12-2024,40401.30859375
18-12-2024,39704.28515625
19-12-2024,40771.98828125
20-12-2024,40964.65234375
23-12-2024,40536.18359375
24-12-2024,40893.0
26-12-2024,42111.93359375
27-12-2024,41201.80078125
30-12-2024,41423.03515625
31-12-2024,41840.484375
01-01-2025,42020.5390625
02-01-2025,42253.39453125
03-01-2025,42964.1328125
06-01-2025,41644.97265625
07-01-2025,42570.06640625
08-01-2025,41791.71875
09-01-2025,42035.59375
10-01-2025,41226.87890625
13-01-2025,40014.4765625
14-01-2025,40473.359375
15-01-2025,40773.43359375
16-01-2025,40604.84765625
17-01-2025,40485.17578125
20-01-2025,40432.42578125
21-01-2025,40219.11328125
22-01-2025,40384.45703125
23-01-2025,41486.3125
24-01-2025,41511.84375
27-01-2025,39676.55859375
28-01-2025,38916.80859375
29-01-2025,39930.3125
30-01-2025,40396.72265625
31-01-2025,40360.76953125
01-02-2025,39277.31640625
03-02-2025,38004.87890625
04-02-2025,38131.82421875
05-02-2025,38055.33984375
06-02-2025,38096.27734375
07-02-2025,38232.69921875
10-02-2025,37037.84765625
11-02-2025,36219.2109375
12-02-2025,34857.37109375
13-02-2025,35179.83203125
14-02-2025,34595.39453125
17-02-2025,33740.85546875
18-02-2025,33297.58203125
19-02-2025,33653.59765625
20-02-2025,33669.40234375
21-02-2025,33720.26171875
24-02-2025,33390.0234375
25-02-2025,33483.0703125
27-02-2025,33778.25390625
28-02-2025,33608.8203125
03-03-2025,33748.78515625
04-03-2025,33519.51953125
05-03-2025,34219.78515625
06-03-2025,35044.05859375
07-03-2025,35714.15625
10-03-2025,34404.421875
11-03-2025,34037.38671875
12-03-2025,34208.06640625
13-03-2025,33757.2109375
17-03-2025,33489.05078125
18-03-2025,33489.05078125
19-03-2025,34465.453125
20-03-2025,33774.06640625
21-03-2025,33816.59765625
24-03-2025,33166.9921875
25-03-2025,32559.869140625
26-03-2025,33639.78515625
