Date,Close
02-05-2023,38569.52734375
03-05-2023,38779.49609375
04-05-2023,39195.58984375
05-05-2023,39421.6640625
08-05-2023,39665.17578125
09-05-2023,39655.69140625
10-05-2023,39634.6953125
11-05-2023,40026.10546875
12-05-2023,40511.3828125
15-05-2023,40494.73828125
16-05-2023,41236.09375
17-05-2023,40647.1328125
18-05-2023,40017.33984375
19-05-2023,39955.68359375
22-05-2023,40064.16015625
23-05-2023,40068.91015625
24-05-2023,39550.9453125
25-05-2023,39424.3984375
26-05-2023,35954.265625
29-05-2023,36332.1953125
30-05-2023,37289.16015625
31-05-2023,37176.03515625
01-06-2023,37519.08203125
02-06-2023,37034.0703125
05-06-2023,37329.19140625
06-06-2023,37250.69140625
07-06-2023,37710.546875
08-06-2023,37452.734375
09-06-2023,36837.0859375
12-06-2023,36630.01171875
13-06-2023,36859.59765625
14-06-2023,36956.96484375
15-06-2023,36850.33203125
16-06-2023,37034.1171875
19-06-2023,37267.16796875
20-06-2023,37109.92578125
21-06-2023,36737.6484375
22-06-2023,36448.9140625
23-06-2023,36177.703125
26-06-2023,36345.3984375
27-06-2023,36408.1015625
28-06-2023,35983.15625
30-06-2023,36149.5625
03-07-2023,35801.484375
04-07-2023,35645.546875
05-07-2023,35260.7890625
06-07-2023,35517.359375
07-07-2023,35106.4296875
10-07-2023,34937.09375
11-07-2023,34851.44140625
12-07-2023,34572.69140625
13-07-2023,34830.8984375
14-07-2023,35215.36328125
17-07-2023,35169.03515625
18-07-2023,34992.59765625
19-07-2023,35010.01953125
20-07-2023,35114.15625
21-07-2023,35210.47265625
24-07-2023,35967.41015625
25-07-2023,35716.5078125
26-07-2023,36174.76953125
27-07-2023,35764.2734375
28-07-2023,35827.40625
31-07-2023,36301.140625
01-08-2023,37161.97265625
02-08-2023,37174.07421875
03-08-2023,37231.875
04-08-2023,37362.41796875
07-08-2023,37773.921875
08-08-2023,37630.65234375
09-08-2023,37489.12109375
10-08-2023,38478.8203125
11-08-2023,39277.76953125
14-08-2023,39378.15625
16-08-2023,39671.64453125
17-08-2023,39628.96484375
18-08-2023,38767.3359375
21-08-2023,39079.8203125
22-08-2023,38870.6875
23-08-2023,38444.640625
24-08-2023,38477.67578125
25-08-2023,37796.8046875
28-08-2023,38105.359375
29-08-2023,38027.15625
30-08-2023,38197.7421875
31-08-2023,38626.0703125
01-09-2023,38307.46484375
04-09-2023,38111.66015625
05-09-2023,38002.33203125
06-09-2023,39254.41796875
07-09-2023,40826.61328125
08-09-2023,40266.02734375
11-09-2023,40106.87890625
12-09-2023,39293.671875
13-09-2023,38686.72265625
14-09-2023,38513.66015625
15-09-2023,39060.82421875
18-09-2023,38791.9609375
20-09-2023,38360.078125
