index,Date,Open,High,Low,Close,volume,oi
0,2016-02-19,5973.35,6009.05,5955.5,6000.4,0,0
1,2016-02-22,6007.15,6034.65,6000.3,6024.15,0,0
2,2016-02-23,6031.6,6031.6,5923.75,5930.9,0,0
3,2016-02-24,5906.5,5911.95,5853.35,5859.75,0,0
4,2016-02-25,5871.5,5871.5,5810.65,5816.5,0,0
5,2016-02-26,5870.55,5878.9,5818.5,5852.9,0,0
6,2016-02-29,5869.85,5897.95,5717.0,5829.95,0,0
7,2016-03-01,5866.65,6027.45,5866.65,6020.05,0,0
8,2016-03-02,6095.3,6151.05,6094.05,6137.15,0,0
9,2016-03-03,6183.9,6223.0,6162.35,6218.4,0,0
10,2016-03-04,6242.6,6249.85,6200.45,6239.35,0,0
11,2016-03-08,6242.4,6278.4,6209.25,6243.65,0,0
12,2016-03-09,6208.2,6279.5,6193.45,6275.1,0,0
13,2016-03-10,6289.1,6289.1,6217.55,6242.95,0,0
14,2016-03-11,6242.6,6287.9,6223.2,6258.45,0,0
15,2016-03-14,6287.3,6317.5,6263.05,6282.7,0,0
16,2016-03-15,6282.7,6282.7,6214.7,6222.65,0,0
17,2016-03-16,6221.1,6244.5,6166.95,6238.45,0,0
18,2016-03-17,6287.05,6307.8,6233.9,6255.75,0,0
19,2016-03-18,6273.0,6325.9,6254.95,6322.65,0,0
20,2016-03-21,6336.7,6411.8,6336.7,6406.7,0,0
21,2016-03-22,6406.8,6426.3,6363.45,6418.3,0,0
22,2016-03-23,6421.2,6430.0,6389.5,6423.7,0,0
23,2016-03-28,6441.0,6441.2,6318.6,6334.7,0,0
24,2016-03-29,6329.2,6359.3,6302.05,6323.0,0,0
25,2016-03-30,6366.05,6440.8,6366.05,6436.7,0,0
26,2016-03-31,6437.1,6468.05,6420.2,6452.15,0,0
27,2016-04-01,6438.4,6462.6,6409.8,6445.5,0,0
28,2016-04-04,6465.95,6482.5,6439.65,6479.6,0,0
29,2016-04-05,6462.9,6462.9,6350.2,6358.35,0,0
30,2016-04-06,6381.95,6383.25,6352.1,6378.0,0,0
31,2016-04-07,6391.75,6391.75,6322.15,6329.8,0,0
32,2016-04-08,6327.1,6351.7,6316.15,6346.65,0,0
33,2016-04-11,6363.55,6434.75,6324.6,6430.6,0,0
34,2016-04-12,6433.7,6475.5,6432.1,6470.1,0,0
35,2016-04-13,6524.65,6587.05,6524.5,6575.35,0,0
36,2016-04-18,6610.9,6638.6,6568.9,6635.05,0,0
37,2016-04-20,6663.25,6669.8,6615.4,6643.3,0,0
38,2016-04-21,6675.4,6694.95,6615.1,6634.3,0,0
39,2016-04-22,6621.85,6646.1,6610.05,6627.95,0,0
40,2016-04-25,6627.0,6635.4,6573.9,6593.45,0,0
41,2016-04-26,6577.2,6676.35,6570.6,6669.5,0,0
42,2016-04-27,6660.45,6695.25,6659.9,6684.3,0,0
