index,Date,Open,High,Low,Close,volume,oi
0,2016-02-19,14243.45,14395.85,14207.35,14344.2,0,0
1,2016-02-22,14331.2,14467.15,14322.65,14384.8,0,0
2,2016-02-23,14373.3,14373.3,13961.75,14008.35,0,0
3,2016-02-24,13873.7,13974.5,13760.25,13794.05,0,0
4,2016-02-25,13844.45,13844.45,13519.9,13555.7,0,0
5,2016-02-26,13715.1,13889.25,13595.2,13791.45,0,0
6,2016-02-29,13818.9,14222.3,13407.25,13946.4,0,0
7,2016-03-01,14064.8,14445.7,14064.8,14412.9,0,0
8,2016-03-02,14770.35,15138.7,14767.3,15092.45,0,0
9,2016-03-03,15150.05,15206.25,15000.05,15177.75,0,0
10,2016-03-04,15243.75,15451.75,15005.5,15339.2,0,0
11,2016-03-08,15323.45,15326.65,15066.5,15146.5,0,0
12,2016-03-09,15022.35,15331.25,14989.4,15279.05,0,0
13,2016-03-10,15347.45,15354.15,15098.5,15180.65,0,0
14,2016-03-11,15133.75,15343.55,15024.8,15168.2,0,0
15,2016-03-14,15309.05,15416.15,15220.15,15277.8,0,0
16,2016-03-15,15310.45,15386.85,15268.1,15326.8,0,0
17,2016-03-16,15304.35,15489.5,15178.3,15461.7,0,0
18,2016-03-17,15622.3,15704.75,15312.5,15444.0,0,0
19,2016-03-18,15485.8,15678.55,15456.2,15654.85,0,0
20,2016-03-21,15735.55,15945.8,15735.55,15926.1,0,0
21,2016-03-22,15930.45,15967.85,15779.15,15936.0,0,0
22,2016-03-23,15884.25,15919.6,15799.95,15887.75,0,0
23,2016-03-28,15867.75,15890.7,15522.2,15604.9,0,0
24,2016-03-29,15583.1,15774.1,15580.8,15666.25,0,0
25,2016-03-30,15829.6,16167.5,15762.2,16134.85,0,0
26,2016-03-31,16134.4,16282.75,16062.05,16141.65,0,0
27,2016-04-01,16099.65,16235.8,16020.6,16174.9,0,0
28,2016-04-04,16236.9,16278.5,16046.5,16190.6,0,0
29,2016-04-05,16127.45,16147.15,15659.75,15695.0,0,0
30,2016-04-06,15750.15,15768.55,15578.55,15636.95,0,0
31,2016-04-07,15668.95,15726.6,15458.05,15530.75,0,0
32,2016-04-08,15519.3,15642.7,15483.05,15568.35,0,0
33,2016-04-11,15623.35,15853.85,15440.25,15818.5,0,0
34,2016-04-12,15809.1,15958.8,15794.15,15880.2,0,0
35,2016-04-13,16087.95,16349.7,16080.55,16278.55,0,0
36,2016-04-18,16328.7,16330.55,16011.9,16222.7,0,0
37,2016-04-20,16299.5,16386.35,16160.55,16349.7,0,0
38,2016-04-21,16526.55,16769.55,16526.55,16637.15,0,0
39,2016-04-22,16641.05,16755.85,16549.1,16703.4,0,0
40,2016-04-25,16746.95,16767.9,16605.0,16678.65,0,0
41,2016-04-26,16647.75,17029.85,16572.0,17002.55,0,0
42,2016-04-27,16869.35,16995.0,16827.35,16872.95,0,0
43,2016-04-28,16885.8,17023.35,16692.7,16716.9,0,0
44,2016-04-29,16712.95,16841.3,16527.55,16795.0,0,0
