Ticker,Momentum,Rank_Mom,Group_Rank_1_to_100,Score,FIP,Close,Positive,Negative
AUROPHARMA,20.382084983939073,76.0,16,85,6.451612903225801,1220.4,46.774193548387096,53.2258064516129
IIFL,20.356464932626128,77.0,16,85,-0.8064516129032242,496.2,50.0,49.193548387096776
BAJFINANCE,20.211060806099603,78.0,16,85,-8.870967741935488,995.9,54.03225806451613,45.16129032258064
TRIVENI,20.17544447193462,79.0,16,85,4.838709677419352,394.9,46.774193548387096,51.61290322580645
NAM-INDIA,20.141067806857627,80.0,16,85,4.838709677419345,931.2,47.58064516129033,52.41935483870967
ABB,19.840889495665557,81.0,17,84,-8.064516129032256,6073.0,54.03225806451613,45.96774193548387
ABCAPITAL,19.299016461954153,82.0,17,84,-3.225806451612897,344.45,51.61290322580645,48.38709677419355
SONACOMS,19.290761403464373,83.0,17,84,3.225806451612897,534.5,48.38709677419355,51.61290322580645
TITAN,19.064360659461286,84.0,17,84,0.0,4327.5,50.0,50.0
IPCALAB,18.81548644114186,85.0,17,84,9.677419354838712,1528.9,45.16129032258064,54.83870967741935
PETRONET,18.711029439318906,86.0,18,83,0.0,323.4,50.0,50.0
COALINDIA,18.655555015126236,87.0,18,83,-9.677419354838712,430.65,54.83870967741935,45.16129032258064
TORNTPHARM,18.26777487671056,88.0,18,83,-6.451612903225801,4333.3,53.2258064516129,46.774193548387096
JBCHEPHARM,18.184279179074036,89.0,18,83,3.225806451612897,2053.5,48.38709677419355,51.61290322580645
GMRAIRPORT,18.094071177085368,90.0,18,83,-1.6129032258064484,100.63,50.806451612903224,49.193548387096776
REDINGTON,17.838947193471675,91.0,19,82,9.677419354838712,280.45,45.16129032258064,54.83870967741935
GPPL,17.74964463111104,92.0,19,82,-11.29032258064516,176.87,55.64516129032258,44.354838709677416
NTPC,17.302810984313723,93.0,19,82,-8.064516129032256,381.9,52.41935483870967,44.354838709677416
BANDHANBNK,17.250920811451564,94.0,19,82,1.6129032258064484,181.98,48.38709677419355,50.0
ADANIPORTS,17.225872720604542,95.0,19,82,-0.8064516129032242,1521.0,50.0,49.193548387096776
LUPIN,17.141598773384615,96.0,20,81,-9.677419354838712,2301.9,54.83870967741935,45.16129032258064
AIAENG,16.29043502981189,97.0,20,81,-5.6451612903225765,3851.6,52.41935483870967,46.774193548387096
CENTRALBK,16.18876672319678,98.0,20,81,-1.6129032258064484,40.07,50.806451612903224,49.193548387096776
SAILIFE,15.767785179845895,99.0,20,81,-6.451612903225801,998.25,53.2258064516129,46.774193548387096
NMDC,15.716953894672447,100.0,20,81,-5.6451612903225765,81.74,52.41935483870967,46.774193548387096
CANFINHOME,15.587397827012506,101.0,21,80,-8.064516129032256,843.4,54.03225806451613,45.96774193548387
CCL,15.4987215258253,102.0,21,80,8.064516129032256,1014.95,45.96774193548387,54.03225806451613
GLENMARK,15.188938458082312,103.0,21,80,-4.032258064516121,2136.7,51.61290322580645,47.58064516129033
AARTIIND,14.725832979642938,104.0,21,80,14.516129032258071,447.15,42.74193548387097,57.25806451612904
HINDPETRO,14.615174379652807,105.0,21,80,-0.8064516129032242,438.75,50.0,49.193548387096776
TIMKEN,14.478133477462096,106.0,22,79,-9.677419354838712,3472.9,54.83870967741935,45.16129032258064
VOLTAS,14.297979631357393,107.0,22,79,-5.6451612903225765,1561.3,52.41935483870967,46.774193548387096
WELSPUNLIV,13.855472779306721,108.0,22,79,11.29032258064516,125.33,44.354838709677416,55.64516129032258
3MINDIA,13.390641361859256,109.0,22,79,12.096774193548384,37505.0,42.74193548387097,54.83870967741935
LTIM,13.372417614327837,110.0,22,79,5.6910569105691025,4504.0,47.15447154471545,52.84552845528455
ELGIEQUIP,13.091074507515366,111.0,23,78,12.903225806451623,534.75,43.54838709677419,56.451612903225815
NESTLEIND,12.813756744823102,112.0,23,78,0.0,1291.7,50.0,50.0
RAMCOCEM,12.585666155508669,113.0,23,78,-4.838709677419345,1129.8,52.41935483870967,47.58064516129033
ASTRAL,12.497583454176532,114.0,23,78,-1.6129032258064484,1667.9,50.0,48.38709677419355
GPIL,12.339717113677406,115.0,23,78,-5.6451612903225765,266.02,52.41935483870967,46.774193548387096
NATCOPHARM,12.213085751259856,116.0,24,77,-3.225806451612897,988.5,51.61290322580645,48.38709677419355
SBILIFE,11.859147650403745,117.0,24,77,-4.838709677419345,2037.2,52.41935483870967,47.58064516129033
HSCL,11.008896885242336,118.0,24,77,3.225806451612897,484.85,48.38709677419355,51.61290322580645
AJANTPHARM,10.996722315914775,119.0,24,77,-4.032258064516121,2993.9,51.61290322580645,47.58064516129033
SIEMENS,10.959595160190672,120.0,24,77,-9.677419354838712,3418.6,54.83870967741935,45.16129032258064
TVSMOTOR,10.873862857348925,121.0,25,76,-8.064516129032256,3869.7,54.03225806451613,45.96774193548387
PGEL,10.545974749054409,122.0,25,76,9.677419354838712,627.9,45.16129032258064,54.83870967741935
INDIACEM,10.22272140153997,123.0,25,76,0.0,406.0,50.0,50.0
USHAMART,10.05286496121256,124.0,25,76,8.870967741935488,418.4,45.16129032258064,54.03225806451613
BAJAJ-AUTO,9.851330618056743,125.0,25,76,-3.225806451612897,9972.5,51.61290322580645,48.38709677419355
BIOCON,9.71803428880811,126.0,26,75,-13.709677419354847,389.8,56.451612903225815,42.74193548387097
CEATLTD,9.31099323972524,127.0,26,75,8.064516129032256,3531.4,45.96774193548387,54.03225806451613
LINDEINDIA,8.938637914937232,128.0,26,75,11.29032258064516,6730.0,44.354838709677416,55.64516129032258
SYRMA,8.920344683634562,129.0,26,75,4.838709677419345,822.25,47.58064516129033,52.41935483870967
IDFCFIRSTB,8.698161509948466,130.0,26,75,1.6129032258064484,73.48,48.38709677419355,50.0
TATACONSUM,8.313877469558651,131.0,27,74,-4.838709677419345,1141.0,52.41935483870967,47.58064516129033
POONAWALLA,8.143694534956559,132.0,27,74,4.838709677419345,454.8,47.58064516129033,52.41935483870967
ADANIPOWER,8.142468703910154,133.0,27,74,6.451612903225801,140.11,46.774193548387096,53.2258064516129
POWERGRID,8.028742408875145,134.0,27,74,-3.225806451612897,298.65,51.61290322580645,48.38709677419355
360ONE,7.989584496195978,135.0,27,74,0.0,1103.6,50.0,50.0
NYKAA,7.920921097459943,136.0,28,73,-1.6129032258064484,265.48,50.806451612903224,49.193548387096776
ENGINERSIN,7.867652860259233,137.0,28,73,4.838709677419345,221.75,47.58064516129033,52.41935483870967
ALKEM,7.784570257543044,138.0,28,73,-4.032258064516121,5639.5,51.61290322580645,47.58064516129033
SUNPHARMA,7.6190904630463185,139.0,28,73,-17.741935483870968,1737.0,58.87096774193549,41.12903225806452
