Date,Open,High,Low,Close,volume,oi,Ticker,%change,Initial_Allocation,Selection_Date,Buy_Hold_Value,Buy_Price,Quantity,Real_Rank,Total_Portfolio_Value,Hedge_Segment
2025-11-11,543.8,556.5,532.0,547.95,1343800.0,0.0,AIIL,,3.75,2025-11-01,3.75,547.95,0.006843690117711469,11.0,100.0,
2025-11-11,3125.0,3139.9,3040.0,3084.9,151685.0,0.0,ANANDRATHI,,3.75,2025-11-01,3.75,3084.9,0.001215598560731304,13.0,100.0,
2025-11-11,140.6,141.39,137.95,140.87,21813910.0,0.0,CANBK,,3.75,2025-11-01,3.75,140.87,0.026620288208987007,19.0,100.0,
2025-11-11,4349.1,4420.0,4290.9,4414.2,395014.0,0.0,CUMMINSIND,,3.75,2025-11-01,3.75,4414.2,0.0008495310588555118,15.0,100.0,
2025-11-11,430.1,434.9,424.45,430.1,4395363.0,0.0,DELHIVERY,,3.75,2025-11-01,3.75,430.1,0.008718902580795164,12.0,100.0,
2025-11-11,999.0,999.0,980.0,986.9,3524034.0,0.0,FORTIS,,3.75,2025-11-01,3.75,986.9,0.003799777079744655,9.0,100.0,
2025-11-11,1895.0,1896.9,1842.5,1851.2,26989.0,0.0,GLAND,,3.75,2025-11-01,3.75,1851.2,0.0020257130509939497,14.0,100.0,
2025-11-11,102.83,103.72,102.8,103.29,33803897.0,0.0,GOLDBEES,,25.0,2025-11-01,25.0,103.29,0.24203698325104075,,100.0,
2025-11-11,1094.0,1108.0,988.0,994.2,13722312.0,0.0,HBLENGINE,,3.75,2025-11-01,3.75,994.2,0.003771876885938443,1.0,100.0,
2025-11-11,5375.5,5430.0,5331.0,5417.5,348232.0,0.0,HEROMOTOCO,,3.75,2025-11-01,3.75,5417.5,0.0006922011998154131,6.0,100.0,
2025-11-11,790.8,794.7,778.1,793.75,5411465.0,0.0,HINDALCO,,3.75,2025-11-01,3.75,793.75,0.004724409448818898,16.0,100.0,
2025-11-11,340.0,365.35,339.6,359.7,36648857.0,0.0,HINDCOPPER,,3.75,2025-11-01,3.75,359.7,0.01042535446205171,5.0,100.0,
2025-11-11,2358.1,2363.0,2331.0,2356.0,438339.0,0.0,HYUNDAI,,3.75,2025-11-01,3.75,2356.0,0.0015916808149405773,18.0,100.0,
2025-11-11,544.0,548.7,538.05,540.75,1213563.0,0.0,IIFL,,3.75,2025-11-01,3.75,540.75,0.006934812760055479,2.0,100.0,
2025-11-11,880.55,880.55,855.35,867.9,1188117.0,0.0,INDIANB,,3.75,2025-11-01,3.75,867.9,0.004320774282751469,10.0,100.0,
2025-11-11,1123.8,1123.9,1095.0,1098.9,437416.0,0.0,INTELLECT,,3.75,2025-11-01,3.75,1098.9,0.0034125034125034124,8.0,100.0,
2025-11-11,147.64,148.0,143.4,147.42,4108918.0,0.0,JMFINANCIL,,3.75,2025-11-01,3.75,147.42,0.02543752543752544,20.0,100.0,
2025-11-11,1001.05,1005.0,970.35,985.7,1828103.0,0.0,LAURUSLABS,,3.75,2025-11-01,3.75,985.7,0.0038044029623617733,3.0,100.0,
2025-11-11,300.5,302.45,291.65,295.05,16005871.0,0.0,LTF,,3.75,2025-11-01,3.75,295.05,0.012709710218607015,4.0,100.0,
2025-11-11,3420.0,3533.0,3392.5,3493.7,2906091.0,0.0,NETWEB,,3.75,2025-11-01,3.75,3493.7,0.0010733606205455535,7.0,100.0,
2025-11-11,1330.7,1345.1,1317.2,1332.6,2604486.0,0.0,PAYTM,,3.75,2025-11-01,3.75,1332.6,0.0028140477262494374,17.0,100.0,
2025-11-12,544.0,562.4,540.2,559.6,337825.0,0.0,AIIL,0.021261063965690274,3.75,2025-11-01,3.8297289898713385,547.95,0.006843690117711469,11.0,100.0297320548799,
2025-11-12,3098.9,3110.5,3025.0,3097.7,135318.0,0.0,ANANDRATHI,0.004149243087296028,3.75,2025-11-01,3.76555966157736,3084.9,0.001215598560731304,13.0,100.0297320548799,
2025-11-12,141.7,144.54,141.37,143.57,39711769.0,0.0,CANBK,0.019166607510470612,3.75,2025-11-01,3.821874778164265,140.87,0.026620288208987007,19.0,100.0297320548799,
2025-11-12,4420.0,4423.9,4370.0,4395.4,617858.0,0.0,CUMMINSIND,-0.004258982375062392,3.75,2025-11-01,3.7340288160935162,4414.2,0.0008495310588555118,15.0,100.0297320548799,
2025-11-12,431.0,434.45,422.3,431.4,4033398.0,0.0,DELHIVERY,0.0030225528946754565,3.75,2025-11-01,3.761334573355033,430.1,0.008718902580795164,12.0,100.0297320548799,
2025-11-12,1004.1,1007.5,949.6,969.4,6846735.0,0.0,FORTIS,-0.01773229303880841,3.75,2025-11-01,3.6835039011044683,986.9,0.003799777079744655,9.0,100.0297320548799,
2025-11-12,1851.1,1886.9,1827.0,1837.9,98290.0,0.0,GLAND,-0.00718452895419186,3.75,2025-11-01,3.7230580164217804,1851.2,0.0020257130509939497,14.0,100.0297320548799,
2025-11-12,102.98,102.98,102.15,102.69,29596247.0,0.0,GOLDBEES,-0.005808887598025114,25.0,2025-11-01,24.854777810049374,103.29,0.24203698325104075,,100.0297320548799,
2025-11-12,1014.0,1017.9,966.3,975.1,7091433.0,0.0,HBLENGINE,-0.019211426272379817,3.75,2025-11-01,3.6779571514785756,994.2,0.003771876885938443,1.0,100.0297320548799,
2025-11-12,5440.0,5557.0,5421.5,5534.0,534031.0,0.0,HEROMOTOCO,0.021504383940932126,3.75,2025-11-01,3.8306414397784954,5417.5,0.0006922011998154131,6.0,100.0297320548799,
2025-11-12,798.0,809.0,791.75,794.4,7589035.0,0.0,HINDALCO,0.0008188976377951906,3.75,2025-11-01,3.753070866141732,793.75,0.004724409448818898,16.0,100.0297320548799,
