symbol,company,industry,score,momentum,positive,negative,band,rank,price
GRANULES,Granules India Ltd.,Healthcare,83.68,32.0,53.8,44.5,Strong (80-100),26,743.5
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,71.97,23.96,56.3,42.9,Good (60-80),27,7085.0
NTPC,NTPC Ltd.,Power,76.15,26.64,52.9,42.1,Good (60-80),28,400.35
TMCV,Tata Motors Ltd.,Capital Goods,70.29,22.77,55.5,42.9,Good (60-80),29,434.05
CUMMINSIND,Cummins India Ltd.,Capital Goods,67.78,21.74,56.2,42.1,Good (60-80),30,5403.0
IPCALAB,Ipca Laboratories Ltd.,Healthcare,83.26,31.96,53.8,45.4,Strong (80-100),31,1560.1
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,99.16,68.26,51.2,47.1,Strong (80-100),32,4250.1
NETWEB,Netweb Technologies India Ltd.,Information Technology,84.94,33.41,52.9,45.5,Strong (80-100),33,4302.7
ADANIGREEN,Adani Green Energy Ltd.,Power,82.43,31.15,52.9,45.5,Strong (80-100),34,1365.0
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,91.63,43.6,52.1,46.3,Strong (80-100),35,614.9
LUPIN,Lupin Ltd.,Healthcare,77.82,27.03,53.7,44.6,Good (60-80),36,2460.1
ANURAS,Anupam Rasayan India Ltd.,Chemicals,68.2,21.9,54.6,43.7,Good (60-80),37,1367.0
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,68.62,22.04,54.5,43.8,Good (60-80),38,170.78
ENGINERSIN,Engineers India Ltd.,Construction,79.92,29.3,52.9,45.5,Good (60-80),39,261.35
PIRAMALFIN,Piramal Finance Ltd.,Financial Services,91.21,42.43,52.2,47.0,Strong (80-100),40,1915.6
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,79.08,28.81,52.9,45.5,Good (60-80),41,139.63
ADANIPOWER,Adani Power Ltd.,Power,92.05,44.35,51.2,47.1,Strong (80-100),42,230.19
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,90.79,40.84,51.2,46.3,Strong (80-100),43,207.63
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,64.44,19.98,54.5,43.8,Good (60-80),44,10605.0
SCI,Shipping Corporation of India Ltd.,Services,86.61,34.92,52.1,46.3,Strong (80-100),45,319.6
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,74.48,25.29,52.9,45.5,Good (60-80),46,636.55
