symbol,company,industry,score,momentum,positive,negative,band,rank,price
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,12.55,2.2,46.2,52.9,Weak (0-40),225,1854.4
YESBANK,Yes Bank Ltd.,Financial Services,8.79,1.54,46.3,52.1,Weak (0-40),226,22.51
RVNL,Rail Vikas Nigam Ltd.,Construction,21.34,4.29,43.0,55.4,Weak (0-40),227,308.7
KPRMILL,K.P.R. Mill Ltd.,Textiles,20.92,4.2,42.1,55.4,Weak (0-40),228,978.0
USHAMART,Usha Martin Ltd.,Capital Goods,6.69,1.18,46.3,52.1,Weak (0-40),229,477.4
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,15.9,3.14,43.8,53.7,Weak (0-40),230,517.45
IRCON,IRCON International Ltd.,Construction,16.32,3.34,43.8,54.5,Weak (0-40),231,161.35
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,0.0,0.03,47.1,51.2,Weak (0-40),232,94.58
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,18.83,3.86,39.7,58.7,Weak (0-40),233,644.25
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,6.28,1.15,45.4,52.1,Weak (0-40),234,6702.5
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,10.04,1.91,44.6,53.7,Weak (0-40),235,14544.0
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,10.46,1.98,43.8,54.5,Weak (0-40),236,290.75
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,12.97,2.26,43.0,55.4,Weak (0-40),237,1338.4
NH,Narayana Hrudayalaya Ltd.,Healthcare,14.23,2.81,42.1,56.2,Weak (0-40),238,1856.2
JKCEMENT,J.K. Cement Ltd.,Construction Materials,4.6,0.86,44.6,53.7,Weak (0-40),239,5626.0
ENRIN,Siemens Energy India Ltd.,Capital Goods,0.84,0.16,45.2,54.8,Weak (0-40),240,3139.5
3MINDIA,3M India Ltd.,Diversified,0.0,-3.09,42.7,56.4,Weak Momentum (<=0),N/A,32650.0
ACC,ACC Ltd.,Construction Materials,0.0,-25.8,39.7,58.7,Weak Momentum (<=0),N/A,1414.6
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,0.0,-19.2,35.5,62.0,Weak Momentum (<=0),N/A,211.94
AAVAS,Aavas Financiers Ltd.,Financial Services,0.0,-12.66,39.7,57.9,Weak Momentum (<=0),N/A,1419.6
ABBOTINDIA,Abbott India Ltd.,Healthcare,0.0,-9.13,38.8,57.0,Weak Momentum (<=0),N/A,26700.0
ACE,Action Construction Equipment Ltd.,Capital Goods,0.0,-16.98,46.3,52.1,Weak Momentum (<=0),N/A,905.55
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,0.0,-14.83,42.1,56.2,Weak Momentum (<=0),N/A,67.79
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,0.0,-23.16,41.7,58.3,Weak Momentum (<=0),N/A,118.21
ABREL,Aditya Birla Real Estate Ltd.,Realty,0.0,-3.12,43.8,54.5,Weak Momentum (<=0),N/A,1591.2
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,0.0,-4.49,41.0,59.0,Weak Momentum (<=0),N/A,739.65
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,0.0,-23.57,44.6,53.7,Weak Momentum (<=0),N/A,216.12
AFCONS,Afcons Infrastructure Ltd.,Construction,0.0,-26.45,42.1,56.2,Weak Momentum (<=0),N/A,336.85
AFFLE,Affle 3i Ltd.,Information Technology,0.0,-16.17,42.1,55.4,Weak Momentum (<=0),N/A,1488.7
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,0.0,-13.15,42.9,56.3,Weak Momentum (<=0),N/A,572.0
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,0.0,-11.09,46.2,53.0,Weak Momentum (<=0),N/A,897.4
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,0.0,-20.65,49.6,48.8,Weak Momentum (<=0),N/A,450.65
ANANTRAJ,Anant Raj Ltd.,Realty,0.0,-24.85,45.5,52.1,Weak Momentum (<=0),N/A,555.9
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,0.0,-16.91,41.3,57.0,Weak Momentum (<=0),N/A,410.05
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,0.0,-5.87,39.7,58.7,Weak Momentum (<=0),N/A,275.05
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,0.0,-10.6,43.0,55.4,Weak Momentum (<=0),N/A,845.45
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,0.0,-2.29,47.9,50.4,Weak Momentum (<=0),N/A,2530.6
ASTRAL,Astral Ltd.,Capital Goods,0.0,-0.81,47.1,51.2,Weak Momentum (<=0),N/A,1569.1
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,0.0,-7.77,45.3,54.7,Weak Momentum (<=0),N/A,490.05
BEML,BEML Ltd.,Capital Goods,0.0,-1.37,49.6,48.8,Weak Momentum (<=0),N/A,2000.2
BLS,BLS International Services Ltd.,Consumer Services,0.0,-8.52,39.7,57.9,Weak Momentum (<=0),N/A,291.9
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,0.0,-5.1,47.9,49.6,Weak Momentum (<=0),N/A,972.75
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,0.0,-14.52,48.7,48.7,Weak Momentum (<=0),N/A,1824.5
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,0.0,-17.11,48.7,49.6,Weak Momentum (<=0),N/A,10597.0
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,0.0,-21.55,37.2,60.3,Weak Momentum (<=0),N/A,87.97
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,0.0,-4.54,40.3,58.8,Weak Momentum (<=0),N/A,2258.4
BANKBARODA,Bank of Baroda,Financial Services,0.0,-1.89,49.6,48.8,Weak Momentum (<=0),N/A,270.35
BATAINDIA,Bata India Ltd.,Consumer Durables,0.0,-29.97,39.7,58.7,Weak Momentum (<=0),N/A,728.15
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,0.0,-10.42,43.7,55.5,Weak Momentum (<=0),N/A,488.25
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,0.0,-12.16,44.6,53.7,Weak Momentum (<=0),N/A,307.6
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,0.0,-8.78,48.8,49.6,Weak Momentum (<=0),N/A,1826.6
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,0.0,-12.0,48.8,49.6,Weak Momentum (<=0),N/A,1515.6
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,0.0,-1.13,45.4,53.8,Weak Momentum (<=0),N/A,674.3
BSOFT,Birlasoft Ltd.,Information Technology,0.0,-8.73,46.3,52.1,Weak Momentum (<=0),N/A,362.2
BLUEDART,Blue Dart Express Ltd.,Services,0.0,-9.42,44.6,53.7,Weak Momentum (<=0),N/A,5662.5
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,0.0,-14.18,41.3,57.0,Weak Momentum (<=0),N/A,490.35
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,0.0,-23.19,45.4,52.9,Weak Momentum (<=0),N/A,1564.3
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,0.0,-7.73,47.1,52.1,Weak Momentum (<=0),N/A,37895.0
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,0.0,-29.66,41.3,57.0,Weak Momentum (<=0),N/A,238.71
BRIGADE,Brigade Enterprises Ltd.,Realty,0.0,-21.74,40.5,57.9,Weak Momentum (<=0),N/A,773.15
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,0.0,-6.43,50.4,48.7,Weak Momentum (<=0),N/A,5814.0
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,0.0,-49.16,41.2,57.1,Weak Momentum (<=0),N/A,968.1
CRISIL,CRISIL Ltd.,Financial Services,0.0,-15.58,43.8,54.5,Weak Momentum (<=0),N/A,4152.0
CANBK,Canara Bank,Financial Services,0.0,-2.48,47.9,50.4,Weak Momentum (<=0),N/A,135.93
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,0.0,-13.66,45.4,53.8,Weak Momentum (<=0),N/A,1866.6
CGCL,Capri Global Capital Ltd.,Financial Services,0.0,-2.84,44.6,52.9,Weak Momentum (<=0),N/A,200.14
CARTRADE,Cartrade Tech Ltd.,Consumer Services,0.0,-33.53,41.3,57.0,Weak Momentum (<=0),N/A,1921.8
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,0.0,-0.16,47.1,50.4,Weak Momentum (<=0),N/A,185.52
CEATLTD,Ceat Ltd.,Automobile and Auto Components,0.0,-18.87,43.8,54.5,Weak Momentum (<=0),N/A,3357.7
CEMPRO,Cemindia Projects Ltd.,Construction,0.0,-3.78,46.2,53.8,Weak Momentum (<=0),N/A,970.3
CENTRALBK,Central Bank of India,Financial Services,0.0,-3.5,49.6,47.9,Weak Momentum (<=0),N/A,36.64
CDSL,Central Depository Services (India) Ltd.,Financial Services,0.0,-15.95,43.0,55.4,Weak Momentum (<=0),N/A,1269.8
CHALET,Chalet Hotels Ltd.,Consumer Services,0.0,-14.04,41.3,57.0,Weak Momentum (<=0),N/A,791.15
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,0.0,-1.23,53.7,43.8,Weak Momentum (<=0),N/A,453.95
CHOICEIN,Choice International Ltd.,Financial Services,0.0,-14.41,44.5,54.6,Weak Momentum (<=0),N/A,689.95
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,0.0,-12.82,43.0,55.4,Weak Momentum (<=0),N/A,1755.0
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,0.0,-1.82,46.3,52.1,Weak Momentum (<=0),N/A,1689.2
CIPLA,Cipla Ltd.,Healthcare,0.0,-5.95,48.8,49.6,Weak Momentum (<=0),N/A,1362.3
CLEAN,Clean Science and Technology Ltd.,Chemicals,0.0,-4.81,45.5,52.9,Weak Momentum (<=0),N/A,876.9
COFORGE,Coforge Ltd.,Information Technology,0.0,-27.86,45.5,52.9,Weak Momentum (<=0),N/A,1285.3
COHANCE,Cohance Lifesciences Ltd.,Healthcare,0.0,-28.19,40.2,59.0,Weak Momentum (<=0),N/A,484.85
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,0.0,-0.9,51.2,47.1,Weak Momentum (<=0),N/A,2167.0
CONCORDBIO,Concord Biotech Ltd.,Healthcare,0.0,-10.77,45.5,52.9,Weak Momentum (<=0),N/A,1198.7
COROMANDEL,Coromandel International Ltd.,Chemicals,0.0,-5.15,46.3,52.1,Weak Momentum (<=0),N/A,1965.0
CYIENT,Cyient Ltd.,Information Technology,0.0,-24.73,43.8,54.5,Weak Momentum (<=0),N/A,894.4
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,0.0,-1.11,44.4,54.7,Weak Momentum (<=0),N/A,1260.5
DLF,DLF Ltd.,Realty,0.0,-15.56,46.3,52.1,Weak Momentum (<=0),N/A,618.85
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods,0.0,-7.12,45.4,53.8,Weak Momentum (<=0),N/A,2356.8
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,0.0,-5.39,47.9,48.8,Weak Momentum (<=0),N/A,470.0
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,0.0,-7.22,44.5,53.8,Weak Momentum (<=0),N/A,1974.3
DEVYANI,Devyani International Ltd.,Consumer Services,0.0,-16.01,38.8,59.5,Weak Momentum (<=0),N/A,118.89
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,0.0,-26.3,40.5,57.9,Weak Momentum (<=0),N/A,11048.0
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,0.0,-2.1,46.3,52.1,Weak Momentum (<=0),N/A,1565.5
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,0.0,-16.86,42.0,57.1,Weak Momentum (<=0),N/A,847.35
EIHOTEL,EIH Ltd.,Consumer Services,0.0,-17.94,43.8,54.5,Weak Momentum (<=0),N/A,334.95
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,0.0,-9.43,44.6,53.7,Weak Momentum (<=0),N/A,454.4
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,0.0,-10.94,46.3,52.1,Weak Momentum (<=0),N/A,2536.2
ERIS,Eris Lifesciences Ltd.,Healthcare,0.0,-17.37,43.6,56.4,Weak Momentum (<=0),N/A,1383.2
ESCORTS,Escorts Kubota Ltd.,Capital Goods,0.0,-11.19,45.5,52.9,Weak Momentum (<=0),N/A,3345.9
ETERNAL,Eternal Ltd.,Consumer Services,0.0,-21.27,45.3,53.8,Weak Momentum (<=0),N/A,257.42
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,0.0,-5.91,41.3,57.0,Weak Momentum (<=0),N/A,364.45
FSL,Firstsource Solutions Ltd.,Services,0.0,-30.7,44.6,53.7,Weak Momentum (<=0),N/A,235.18
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,0.0,-19.23,38.7,59.7,Weak Momentum (<=0),N/A,473.25
FORTIS,Fortis Healthcare Ltd.,Healthcare,0.0,-2.22,43.8,52.9,Weak Momentum (<=0),N/A,947.7
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,0.0,-13.52,44.6,53.7,Weak Momentum (<=0),N/A,1126.6
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,0.0,-1.11,43.8,54.5,Weak Momentum (<=0),N/A,7932.5
GLAND,Gland Pharma Ltd.,Healthcare,0.0,-0.1,45.4,53.8,Weak Momentum (<=0),N/A,1870.6
MEDANTA,Global Health Ltd.,Healthcare,0.0,-14.99,47.9,51.3,Weak Momentum (<=0),N/A,1206.9
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,0.0,-8.67,45.4,53.8,Weak Momentum (<=0),N/A,315.4
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,0.0,-7.13,52.1,45.5,Weak Momentum (<=0),N/A,1036.6
GODREJPROP,Godrej Properties Ltd.,Realty,0.0,-14.4,47.9,49.6,Weak Momentum (<=0),N/A,1878.6
GSPL,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,0.0,-3.02,48.7,50.4,Weak Momentum (<=0),N/A,296.75
HBLENGINE,HBL Engineering Ltd.,Capital Goods,0.0,-27.2,47.0,53.0,Weak Momentum (<=0),N/A,848.2
HCLTECH,HCL Technologies Ltd.,Information Technology,0.0,-21.42,51.2,47.1,Weak Momentum (<=0),N/A,1183.4
HDBFS,HDB Financial Services Ltd.,Financial Services,0.0,-5.04,44.6,53.7,Weak Momentum (<=0),N/A,700.55
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,0.0,-0.85,46.3,51.2,Weak Momentum (<=0),N/A,2834.6
HDFCBANK,HDFC Bank Ltd.,Financial Services,0.0,-19.0,38.8,59.5,Weak Momentum (<=0),N/A,796.05
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,0.0,-11.83,45.5,52.9,Weak Momentum (<=0),N/A,625.4
HAVELLS,Havells India Ltd.,Consumer Durables,0.0,-8.19,48.8,49.6,Weak Momentum (<=0),N/A,1268.9
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,0.0,-2.17,51.2,47.1,Weak Momentum (<=0),N/A,5343.0
HEXT,Hexaware Technologies Ltd.,Information Technology,0.0,-31.83,47.0,53.0,Weak Momentum (<=0),N/A,460.55
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,0.0,-18.88,43.0,54.5,Weak Momentum (<=0),N/A,396.5
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,0.0,-4.98,48.8,49.6,Weak Momentum (<=0),N/A,2272.2
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,0.0,-2.86,43.7,55.5,Weak Momentum (<=0),N/A,1217.5
HONAUT,Honeywell Automation India Ltd.,Capital Goods,0.0,-16.58,36.8,61.5,Weak Momentum (<=0),N/A,30605.0
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,0.0,-0.64,49.6,48.8,Weak Momentum (<=0),N/A,228.01
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,0.0,-21.49,45.5,52.9,Weak Momentum (<=0),N/A,1835.8
ICICIBANK,ICICI Bank Ltd.,Financial Services,0.0,-4.9,43.8,54.5,Weak Momentum (<=0),N/A,1279.0
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,0.0,-8.87,45.5,52.9,Weak Momentum (<=0),N/A,1850.2
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,0.0,-10.76,51.2,47.1,Weak Momentum (<=0),N/A,562.9
IDBI,IDBI Bank Ltd.,Financial Services,0.0,-30.07,45.5,52.9,Weak Momentum (<=0),N/A,75.76
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,0.0,-11.34,49.6,47.9,Weak Momentum (<=0),N/A,70.39
IIFL,IIFL Finance Ltd.,Financial Services,0.0,-12.76,45.5,52.1,Weak Momentum (<=0),N/A,464.2
ITCHOTELS,ITC Hotels Ltd.,Consumer Services,0.0,-27.15,42.6,57.4,Weak Momentum (<=0),N/A,166.18
ITC,ITC Ltd.,Fast Moving Consumer Goods,0.0,-13.82,41.3,56.2,Weak Momentum (<=0),N/A,307.4
ITI,ITI Ltd.,Telecommunication,0.0,-5.31,40.5,57.9,Weak Momentum (<=0),N/A,303.65
INDGN,Indegene Ltd.,Healthcare,0.0,-1.6,44.6,52.9,Weak Momentum (<=0),N/A,531.4
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,0.0,-16.15,43.8,53.7,Weak Momentum (<=0),N/A,2091.0
IEX,Indian Energy Exchange Ltd.,Financial Services,0.0,-5.2,46.3,51.2,Weak Momentum (<=0),N/A,133.81
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,0.0,-4.07,54.5,43.8,Weak Momentum (<=0),N/A,669.1
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,0.0,-6.66,49.6,48.8,Weak Momentum (<=0),N/A,146.89
IOB,Indian Overseas Bank,Financial Services,0.0,-9.17,40.5,57.0,Weak Momentum (<=0),N/A,35.17
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,0.0,-19.03,43.0,55.4,Weak Momentum (<=0),N/A,568.5
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,0.0,-8.2,47.1,51.2,Weak Momentum (<=0),N/A,106.77
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,0.0,-3.4,42.1,56.2,Weak Momentum (<=0),N/A,135.56
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,0.0,-12.95,42.1,56.2,Weak Momentum (<=0),N/A,169.84
NAUKRI,Info Edge (India) Ltd.,Consumer Services,0.0,-27.22,43.0,55.4,Weak Momentum (<=0),N/A,981.85
INFY,Infosys Ltd.,Information Technology,0.0,-24.36,46.3,52.1,Weak Momentum (<=0),N/A,1162.7
INOXWIND,Inox Wind Ltd.,Capital Goods,0.0,-28.45,39.7,58.7,Weak Momentum (<=0),N/A,106.65
INTELLECT,Intellect Design Arena Ltd.,Information Technology,0.0,-22.39,42.1,56.2,Weak Momentum (<=0),N/A,782.15
INDIGO,InterGlobe Aviation Ltd.,Services,0.0,-23.44,47.1,52.1,Weak Momentum (<=0),N/A,4506.9
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,0.0,-3.22,46.2,52.9,Weak Momentum (<=0),N/A,1695.7
JBMA,JBM Auto Ltd.,Automobile and Auto Components,0.0,-2.67,42.1,56.2,Weak Momentum (<=0),N/A,624.2
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,0.0,-12.52,47.9,50.4,Weak Momentum (<=0),N/A,410.25
JMFINANCIL,JM Financial Ltd.,Financial Services,0.0,-4.71,46.3,52.1,Weak Momentum (<=0),N/A,142.85
JSWCEMENT,JSW Cement Ltd.,Construction Materials,0.0,-2.95,44.6,53.7,Weak Momentum (<=0),N/A,125.01
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,0.0,0.0,45.0,55.0,Weak Momentum (<=0),N/A,2966.4
JSWINFRA,JSW Infrastructure Ltd.,Services,0.0,-4.13,46.2,53.8,Weak Momentum (<=0),N/A,281.2
JIOFIN,Jio Financial Services Ltd.,Financial Services,0.0,-15.5,41.9,56.4,Weak Momentum (<=0),N/A,251.02
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,0.0,-17.7,39.7,57.9,Weak Momentum (<=0),N/A,479.0
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,0.0,-15.25,46.2,52.9,Weak Momentum (<=0),N/A,981.15
JWL,Jupiter Wagons Ltd.,Capital Goods,0.0,-0.49,43.0,54.5,Weak Momentum (<=0),N/A,303.75
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,0.0,-11.54,45.5,52.1,Weak Momentum (<=0),N/A,773.2
KPITTECH,KPIT Technologies Ltd.,Information Technology,0.0,-40.29,40.5,57.9,Weak Momentum (<=0),N/A,722.65
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,0.0,-6.15,49.6,48.8,Weak Momentum (<=0),N/A,1098.8
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,0.0,-21.05,41.3,57.0,Weak Momentum (<=0),N/A,411.15
KAYNES,Kaynes Technology India Ltd.,Capital Goods,0.0,-29.47,43.0,55.4,Weak Momentum (<=0),N/A,4379.7
KEC,Kec International Ltd.,Construction,0.0,-7.98,46.3,52.1,Weak Momentum (<=0),N/A,612.45
KFINTECH,Kfin Technologies Ltd.,Financial Services,0.0,-16.45,42.1,56.2,Weak Momentum (<=0),N/A,927.55
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,0.0,-11.26,45.5,52.1,Weak Momentum (<=0),N/A,379.4
LTTS,L&T Technology Services Ltd.,Information Technology,0.0,-9.26,48.8,49.6,Weak Momentum (<=0),N/A,3772.9
LTM,LTM Ltd.,Information Technology,0.0,-5.26,46.9,53.1,Weak Momentum (<=0),N/A,4250.0
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,0.0,-37.39,33.1,64.5,Weak Momentum (<=0),N/A,310.6
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,0.0,-5.18,49.6,49.6,Weak Momentum (<=0),N/A,420.75
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,0.0,-30.35,44.6,53.7,Weak Momentum (<=0),N/A,121.81
LICI,Life Insurance Corporation of India,Financial Services,0.0,-7.56,43.8,54.5,Weak Momentum (<=0),N/A,811.15
LODHA,Lodha Developers Ltd.,Realty,0.0,-17.56,45.5,52.9,Weak Momentum (<=0),N/A,967.35
MRF,MRF Ltd.,Automobile and Auto Components,0.0,-17.2,41.0,58.1,Weak Momentum (<=0),N/A,129965.0
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,0.0,-4.52,48.7,50.4,Weak Momentum (<=0),N/A,1179.8
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,0.0,-10.34,45.5,52.9,Weak Momentum (<=0),N/A,3370.7
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,0.0,-8.88,41.3,57.0,Weak Momentum (<=0),N/A,155.35
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,0.0,-10.07,48.8,49.6,Weak Momentum (<=0),N/A,13770.0
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,0.0,-3.91,49.6,48.8,Weak Momentum (<=0),N/A,1015.3
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,0.0,-4.64,50.4,47.9,Weak Momentum (<=0),N/A,2683.3
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,0.0,-11.98,43.7,55.5,Weak Momentum (<=0),N/A,536.7
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,0.0,-11.23,44.6,53.7,Weak Momentum (<=0),N/A,42.83
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,0.0,-13.07,36.4,62.0,Weak Momentum (<=0),N/A,891.3
MPHASIS,MphasiS Ltd.,Information Technology,0.0,-24.37,48.8,49.6,Weak Momentum (<=0),N/A,2193.1
NBCC,NBCC (India) Ltd.,Construction,0.0,-16.2,41.3,57.0,Weak Momentum (<=0),N/A,96.85
NCC,NCC Ltd.,Construction,0.0,-13.8,45.5,52.9,Weak Momentum (<=0),N/A,170.08
NSLNISP,NMDC Steel Ltd.,Metals & Mining,0.0,-2.04,48.8,49.6,Weak Momentum (<=0),N/A,44.24
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,0.0,-5.46,40.5,57.9,Weak Momentum (<=0),N/A,17285.0
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,0.0,-45.39,35.5,62.8,Weak Momentum (<=0),N/A,500.65
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,0.0,-6.85,44.6,53.7,Weak Momentum (<=0),N/A,336.45
OBEROIRLTY,Oberoi Realty Ltd.,Realty,0.0,-6.77,46.2,52.1,Weak Momentum (<=0),N/A,1675.0
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,0.0,-27.22,40.5,57.9,Weak Momentum (<=0),N/A,35.09
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,0.0,-13.8,42.1,55.4,Weak Momentum (<=0),N/A,1269.8
PAYTM,One 97 Communications Ltd.,Financial Services,0.0,-15.41,43.8,54.5,Weak Momentum (<=0),N/A,1197.4
POLICYBZR,PB Fintech Ltd.,Financial Services,0.0,-2.78,47.9,52.1,Weak Momentum (<=0),N/A,1684.1
PCBL,PCBL Chemical Ltd.,Chemicals,0.0,-12.76,40.5,57.9,Weak Momentum (<=0),N/A,304.45
PGEL,PG Electroplast Ltd.,Consumer Durables,0.0,-3.57,48.8,49.6,Weak Momentum (<=0),N/A,535.5
PIIND,PI Industries Ltd.,Chemicals,0.0,-18.57,43.8,54.5,Weak Momentum (<=0),N/A,3101.5
PTCIL,PTC Industries Ltd.,Capital Goods,0.0,-2.43,49.6,49.6,Weak Momentum (<=0),N/A,16814.0
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,0.0,-9.27,46.2,53.8,Weak Momentum (<=0),N/A,1066.1
PAGEIND,Page Industries Ltd.,Textiles,0.0,-3.57,42.7,57.3,Weak Momentum (<=0),N/A,37345.0
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,0.0,-22.04,43.0,55.4,Weak Momentum (<=0),N/A,127.39
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,0.0,-21.53,50.4,47.9,Weak Momentum (<=0),N/A,460.35
PERSISTENT,Persistent Systems Ltd.,Information Technology,0.0,-18.04,47.1,50.4,Weak Momentum (<=0),N/A,4984.0
PFIZER,Pfizer Ltd.,Healthcare,0.0,-6.36,43.7,55.5,Weak Momentum (<=0),N/A,4750.6
PWL,Physicswallah Ltd.,Consumer Services,0.0,-14.04,39.6,60.4,Weak Momentum (<=0),N/A,109.94
PINELABS,Pine Labs Ltd.,Financial Services,0.0,-10.16,44.4,53.8,Weak Momentum (<=0),N/A,201.62
