Date,Open,High,Low,Close,Volume
2016-02-26,522.85,527.75,519.0,524.0,1985528
2016-02-29,528.0,528.0,505.0,514.15,3487816
2016-03-01,515.0,521.4,509.6,516.35,2146110
2016-03-02,523.5,532.0,519.4,525.6,3422308
2016-03-03,530.0,531.0,523.4,527.1,3101778
2016-03-04,533.7,545.6,530.25,537.7,2693406
2016-03-08,539.8,549.7,528.8,532.35,1409496
2016-03-09,533.85,535.0,521.35,529.3,4376676
2016-03-10,530.2,540.2,530.0,533.95,3609343
2016-03-11,534.5,538.55,530.95,534.6,2806975
2016-03-14,538.0,543.75,530.1,537.6,3909833
2016-03-15,538.6,539.0,522.0,525.05,2961527
2016-03-16,524.9,534.8,516.2,531.0,2221318
2016-03-17,536.3,537.0,521.55,524.55,2100095
2016-03-18,529.0,530.05,517.5,528.25,4345885
2016-03-21,530.0,538.4,527.5,535.85,1221223
2016-03-22,537.5,539.0,531.05,535.3,1529194
2016-03-23,534.8,536.3,525.55,532.8,1361735
2016-03-28,536.3,537.35,522.1,524.2,1947564
2016-03-29,521.05,525.0,494.55,503.5,6503207
2016-03-30,506.95,516.5,502.5,512.35,4372138
2016-03-31,513.0,518.0,507.9,511.95,3086978
2016-04-01,513.8,517.3,510.0,514.55,1239447
2016-04-04,519.0,519.0,512.15,514.3,768318
2016-04-05,513.0,516.0,501.45,503.0,1086907
2016-04-06,503.35,507.5,497.0,504.95,1820374
2016-04-07,505.75,513.05,501.7,506.4,2102922
2016-04-08,509.8,510.6,503.25,504.45,1262329
2016-04-11,505.5,506.0,497.05,502.15,2929584
2016-04-12,502.7,508.85,499.7,501.95,3622355
2016-04-13,505.15,515.0,504.0,511.9,3642720
2016-04-18,515.0,525.7,507.1,524.1,3507933
2016-04-20,525.0,530.4,519.25,527.2,2898556
2016-04-21,530.0,534.0,526.6,532.0,3392813
2016-04-22,529.7,536.55,527.0,531.35,1880283
2016-04-25,532.5,533.85,523.5,526.5,1959119
2016-04-26,524.65,542.25,524.15,540.5,1855477
