Date,Open,High,Low,Close
2021-08-09,9177.9,9183.55,9075.5,9114.95
2021-08-10,9131.55,9145.5,8967.45,9033.55
2021-08-11,9050.7,9064.1,8870.6,9011.3
2021-08-12,9033.55,9112.6,9028.6,9106.45
2021-08-13,9129.95,9161.45,9123.45,9142.8
2021-08-16,9145.85,9149.7,9102.45,9123.9
2021-08-17,9124.45,9147.0,9079.9,9141.25
2021-08-18,9176.9,9182.75,9113.25,9128.8
2021-08-20,9038.4,9094.15,8975.35,8995.25
2021-08-23,9071.6,9082.25,8880.1,8943.0
2021-08-24,8974.15,9058.15,8955.65,9052.0
2021-08-25,9086.9,9114.6,9064.75,9084.25
2021-08-26,9099.6,9123.25,9075.2,9096.4
2021-08-27,9112.2,9166.75,9073.5,9159.55
2021-08-30,9206.55,9303.75,9202.75,9296.65
2021-08-31,9319.35,9392.85,9298.3,9384.3
2021-09-01,9424.05,9439.05,9362.25,9395.3
2021-09-02,9411.95,9485.3,9402.25,9480.5
2021-09-03,9513.7,9535.05,9484.8,9527.8
2021-09-06,9573.35,9588.75,9550.8,9569.65
2021-09-07,9594.9,9605.25,9501.1,9552.9
2021-09-08,9571.4,9594.95,9522.8,9578.9
2021-09-09,9572.05,9617.7,9567.9,9613.1
2021-09-13,9622.9,9648.05,9582.0,9642.1
2021-09-14,9692.75,9707.4,9669.65,9692.3
2021-09-15,9716.45,9773.8,9707.8,9768.8
2021-09-16,9794.25,9814.15,9757.3,9808.95
2021-09-17,9855.25,9861.25,9698.8,9742.1
2021-09-20,9667.3,9755.7,9577.35,9591.4
2021-09-21,9605.1,9656.4,9501.45,9648.9
2021-09-22,9681.35,9737.95,9669.65,9713.4
2021-09-23,9786.15,9847.3,9781.5,9839.35
2021-09-24,9890.65,9906.65,9797.9,9821.9
2021-09-27,9873.7,9877.65,9791.25,9822.55
2021-09-28,9856.25,9859.4,9688.2,9764.55
2021-09-29,9720.35,9809.25,9692.6,9779.4
2021-09-30,9804.95,9829.95,9767.8,9786.7
2021-10-01,9754.85,9787.55,9722.65,9778.05
2021-10-04,9836.4,9904.45,9828.9,9899.9
2021-10-05,9902.1,9965.0,9888.55,9959.2
2021-10-06,9998.85,10011.85,9853.3,9867.95
2021-10-07,9959.0,10007.8,9953.4,9985.0
2021-10-08,10044.25,10056.75,10003.25,10040.6
2021-10-11,10066.7,10137.8,10051.7,10098.15
2021-10-12,10108.0,10144.95,10069.65,10139.2
2021-10-13,10198.55,10244.3,10184.8,10226.5
2021-10-14,10298.8,10325.3,10275.4,10305.0
2021-10-18,10408.75,10430.45,10378.2,10387.7
2021-10-19,10468.8,10475.45,10231.05,10262.35
2021-10-20,10265.2,10268.1,10049.4,10107.45
2021-10-21,10167.85,10174.35,9977.9,10050.4
2021-10-22,10091.8,10128.7,9927.15,9979.5
2021-10-25,10038.4,10042.7,9783.95,9889.8
2021-10-26,9909.9,10050.7,9908.05,10032.9
2021-10-27,10074.25,10097.3,10024.5,10039.15
2021-10-28,10042.7,10042.7,9835.7,9859.5
2021-10-29,9834.0,9906.15,9692.5,9807.45
2021-11-08,10102.5,10146.4,9999.75,10137.1
2021-11-09,10157.8,10192.8,10140.75,10170.8
2021-11-10,10147.8,10187.3,10123.05,10155.1
2021-11-11,10149.75,10156.65,10052.85,10088.25
2021-11-12,10147.4,10179.05,10086.15,10172.5
2021-11-15,10208.6,10222.75,10152.65,10178.8
2021-11-16,10197.35,10217.4,10134.05,10153.85
2021-11-17,10139.65,10184.05,10103.6,10115.95
2021-11-18,10129.85,10154.55,9958.05,9995.5
2021-11-22,10017.95,10022.0,9670.1,9760.85
2021-11-23,9702.55,9890.2,9659.9,9877.45
2021-11-24,9925.05,9956.05,9827.15,9857.75
2021-11-25,9871.1,9935.75,9821.25,9925.8
2021-11-26,9827.2,9853.4,9619.8,9635.55
2021-11-29,9590.3,9610.75,9365.7,9547.1
2021-11-30,9557.55,9739.45,9557.15,9594.85
2021-12-01,9659.1,9704.15,9603.0,9669.6
2021-12-02,9690.7,9799.05,9671.0,9787.75
2021-12-03,9813.6,9853.15,9740.9,9747.95
2021-12-06,9767.35,9771.65,9590.6,9604.05
2021-12-07,9682.1,9757.85,9649.85,9736.85
2021-12-08,9810.75,9896.45,9808.8,9889.35
2021-12-09,9931.45,9950.8,9875.1,9939.6
2021-12-10,9935.25,9988.85,9921.95,9981.0
2021-12-13,10052.9,10069.95,9933.45,9943.4
2021-12-14,9911.15,9952.4,9872.35,9937.05
2021-12-15,9949.4,9971.25,9871.3,9883.8
2021-12-16,9959.2,9969.85,9820.4,9846.45
2021-12-17,9857.25,9863.7,9646.55,9657.95
2021-12-20,9551.75,9558.65,9269.35,9380.4
2021-12-21,9455.25,9569.4,9441.95,9490.8
