Date,Total_NAV,Num_Stocks,Daily_Return_Pct,Cumulative_Return_Pct
2025-11-11,266.8624918334805,21,,0.0
2025-11-12,266.709591514664,21,-0.05729554489504185,-0.05729554489504185
2025-11-13,267.52431169087066,21,0.305470894983495,0.2480003288746646
2025-11-14,266.4709038699275,21,-0.3937615292924801,-0.14673773030543513
2025-11-17,268.2293778324164,21,0.6599121843889,0.5122061139220868
2025-11-18,265.270527905581,21,-1.1031043470130286,-0.5965484009992861
2025-11-19,264.7791862676212,21,-0.18522285224791268,-0.7806663092838284
2025-11-20,263.70056253044106,21,-0.40736726794300404,-1.18485339821095
2025-11-21,260.49090275535156,21,-1.2171607615433122,-2.387592589109422
2025-11-24,260.1078316147404,21,-0.14705739684541808,-2.5311388544460245
2025-11-25,261.83744950205875,21,0.6649618646931588,-1.883008097877359
2025-11-26,265.42488820427786,21,1.370101453799455,-0.538705765402081
2025-11-27,265.65671639339365,21,0.08734229509681501,-0.4518339882845779
2025-11-28,267.0174376365308,21,0.5122103674285228,0.05806203861238313
2025-12-01,269.2087818517635,23,0.820674572653024,0.8792131116526658
2025-12-02,267.3520997616382,23,-0.6896811007999104,0.18346824418593588
2025-12-03,265.8307439433592,23,-0.569045771338772,-0.386621545438115
2025-12-04,264.5882316299006,23,-0.46740730399618124,-0.8522217520920861
2025-12-05,267.32496398806074,23,1.0343363880175316,0.17329979623694758
2025-12-08,263.8040304895305,23,-1.3170986525177342,-1.1460813855618368
2025-12-09,265.01945355334726,23,0.46072952773366094,-0.6906321931833159
2025-12-10,263.3479630862442,23,-0.630704819850747,-1.316981162504216
2025-12-11,264.00230059125795,23,0.2484687929025231,-1.0717846567989242
2025-12-12,267.93599302511944,23,1.4900220282367371,0.4022675439562473
2025-12-15,267.72902112906627,23,-0.07724676842270073,0.32471003685541344
2025-12-16,265.2875354582557,23,-0.9119241763609787,-0.5901752488347123
2025-12-17,265.2906110550136,23,0.0011593446154867237,-0.5890227463842046
2025-12-18,265.96700614647114,23,0.2549638258088516,-0.3355607155044127
2025-12-19,268.76534236629305,23,1.0521366015906697,0.7130453289778682
2025-12-22,272.4330939324823,23,1.3646668628838787,2.0874428851836546
2025-12-23,273.56150398424467,23,0.41419712835697453,2.5102861420271516
2025-12-24,274.1693532359996,23,0.22219838789523383,2.738062345261527
2025-12-26,275.6030526653608,23,0.522924758890575,3.2753051100693265
2025-12-29,274.07118673189973,23,-0.5558232823063336,2.7012769193946573
2025-12-30,276.46145141510965,23,0.8721327884598562,3.596968429575642
2025-12-31,278.13591922136334,23,0.6056785847295076,4.224433081782575
2026-01-01,279.3358669350095,23,0.43142493677386096,4.6740832763085605
2026-01-02,281.89089897234015,23,0.9146809771926279,5.631517204087744
2026-01-05,282.7319502608259,23,0.2983605684156121,5.946679999243876
2026-01-06,283.8930424245108,23,0.41066889066261325,6.3817700546906275
2026-01-07,283.70388129178406,23,-0.06663112667758542,6.310886682723638
2026-01-08,277.31466755203815,23,-2.252071318395088,3.9166896954105246
2026-01-09,276.01198767068377,23,-0.4697479195217569,3.4285432075304545
2026-01-12,276.39467640288734,23,0.13864931571745398,3.5719461749442294
2026-01-13,278.2846868692351,23,0.6838085635168856,4.280180012289603
2026-01-14,282.30578133605604,23,1.4449571451663923,5.78698392436956
2026-01-16,281.15934269203177,23,-0.40609818141115195,5.357384906482987
2026-01-19,282.86840618836374,23,0.6078629576979688,5.997813422528786
2026-01-20,279.8752571287088,23,-1.0581418759300187,4.876206171134823
2026-01-21,282.3735306885941,23,0.8926382365899377,5.812371288503271
2026-01-22,278.32369354175285,23,-1.434212738341778,4.294796780742072
2026-01-23,278.1079515901554,23,-0.07751476306313565,4.213952916130292
2026-01-27,283.27435289331385,23,1.8576963634510335,6.149931729661806
2026-01-28,289.0130587994041,23,2.0258473269733512,8.300367284191212
2026-01-29,295.1587742976308,23,2.126449069034031,10.60331943606634
2026-01-30,289.4475900097202,23,-1.9349532472822895,8.463196915036164
