Date,Open,High,Low,Close,volume,oi,Ticker,%change,Buy_Hold_Value,Total_Portfolio_Value
2025-11-11,543.8,556.5,532.0,547.95,1343800.0,0.0,AIIL,0.001096190737188252,10.30894097632738,216.2995390236115
2025-11-11,3125.0,3139.9,3040.0,3084.9,151685.0,0.0,ANANDRATHI,-0.01166180758017499,10.59721170756992,216.2995390236115
2025-11-11,140.6,141.39,137.95,140.87,21813910.0,0.0,CANBK,-0.001205331820759992,10.90972272101767,216.2995390236115
2025-11-11,4349.1,4420.0,4290.9,4414.2,395014.0,0.0,CUMMINSIND,0.01494527729237571,10.78043427748731,216.2995390236115
2025-11-11,430.1,434.9,424.45,430.1,4395363.0,0.0,DELHIVERY,0.005846585594013076,8.891389418876557,216.2995390236115
2025-11-11,999.0,999.0,980.0,986.9,3524034.0,0.0,FORTIS,-0.005842651354890815,10.2343520738056,216.2995390236115
2025-11-11,1895.0,1896.9,1842.5,1851.2,26989.0,0.0,GLAND,-0.01589495507947469,10.18187339087588,216.2995390236115
2025-11-11,102.83,103.72,102.8,103.29,33803897.0,0.0,GOLDBEES,0.01563421828908562,50.56295280986894,50.56295280986894
2025-11-11,1094.0,1108.0,988.0,994.2,13722312.0,0.0,HBLENGINE,-0.09519475791772836,11.9189733879883,216.2995390236115
2025-11-11,5375.5,5430.0,5331.0,5417.5,348232.0,0.0,HEROMOTOCO,0.01082190502845415,10.52279558324487,216.2995390236115
2025-11-11,790.8,794.7,778.1,793.75,5411465.0,0.0,HINDALCO,0.01088894549159436,9.932275962455618,216.2995390236115
2025-11-11,340.0,365.35,339.6,359.7,36648857.0,0.0,HINDCOPPER,0.0643586329338659,11.60598734365629,216.2995390236115
2025-11-11,2358.1,2363.0,2331.0,2356.0,438339.0,0.0,HYUNDAI,-8.488243782356353e-05,9.690217785492448,216.2995390236115
2025-11-11,544.0,548.7,538.05,540.75,1213563.0,0.0,IIFL,-0.002122162760656909,12.71956241853398,216.2995390236115
2025-11-11,880.55,880.55,855.35,867.9,1188117.0,0.0,INDIANB,-0.009642266217835371,10.72290082691363,216.2995390236115
2025-11-11,1123.8,1123.9,1095.0,1098.9,437416.0,0.0,INTELLECT,-0.0001819670639612303,10.88095849482698,216.2995390236115
2025-11-11,1001.05,1005.0,970.35,985.7,1828103.0,0.0,LAURUSLABS,-0.01533389940562402,11.77663273014185,216.2995390236115
2025-11-11,300.5,302.45,291.65,295.05,16005871.0,0.0,LTF,-0.01944167497507465,13.14644184519175,216.2995390236115
2025-11-11,3420.0,3533.0,3392.5,3493.7,2906091.0,0.0,NETWEB,0.03563065065955229,10.1786280223739,216.2995390236115
2025-11-11,1330.7,1345.1,1317.2,1332.6,2604486.0,0.0,PAYTM,0.001427819944390007,10.84857764136815,216.2995390236115
2025-11-11,7620.0,7690.0,7549.0,7659.5,105930.0,0.0,POLYCAB,0.006769190325972563,10.45166241546345,216.2995390236115
2025-11-12,544.0,562.4,540.2,559.6,337825.0,0.0,AIIL,0.02126106396569027,10.52812002984361,216.4403532142918
2025-11-12,3098.9,3110.5,3025.0,3097.7,135318.0,0.0,ANANDRATHI,0.004149243087296028,10.64118211499217,216.4403532142918
2025-11-12,141.7,144.54,141.37,143.57,39711769.0,0.0,CANBK,0.01916660751047061,11.11882509445948,216.4403532142918
2025-11-12,4420.0,4423.9,4370.0,4395.4,617858.0,0.0,CUMMINSIND,-0.004258982375062392,10.73452059790397,216.4403532142918
