Date,Portfolio_Value,Pct_Change_Port,Benchmark_Value,Pct_Change_Bench,Rolling_Return_252,Rolling_Return_Bench_252,Alpha,SD_252,Sharpe
2024-01-17,161.80107017818975,-0.004132765453568332,19487.6,,,,,,
2024-01-18,162.5803878291884,0.004816517283479094,19414.8,-0.00373570886101926,,,,,
2024-01-19,166.816330597237,0.026054451121736877,19606.4,0.009868759915116376,,,,,
2024-01-20,168.89323869148046,0.012450268428802591,19601.9,-0.00022951689244332663,,,,,
2024-01-23,163.87192764503757,-0.0297306812596293,19206.45,-0.0201740647590285,,,,,
2024-01-24,167.68422748272795,0.023263898170211128,19451.0,0.012732701774664124,,,,,
2024-01-25,170.6185471054613,0.017499079470879808,19393.0,-0.0029818518328106336,,,,,
2024-01-29,174.2871470353741,0.0215017651489271,19711.65,0.016431186510596607,,,,,
2024-01-30,176.27088492738028,0.011382009091029266,19574.2,-0.006973033713565391,,,,,
2024-01-31,179.25819131150877,0.016947247898364992,19802.1,0.01164287684809584,,,,,
2024-02-01,179.2581913115088,2.220446049250313e-16,19777.35,-0.0012498674383020214,,,,,
2024-02-02,183.65525182648435,0.0245292027259969,19910.8,0.006747617855779486,,,,,
2024-02-05,184.76175814547682,0.006024909758844732,19853.5,-0.0028778351447454886,,,,,
2024-02-06,184.56647570266273,-0.0010569418951963394,20033.75,0.009079003702118005,,,,,
2024-02-07,186.04412812341388,0.008006071607130183,20109.55,0.00378361514943526,,,,,
2024-02-08,186.32804727680733,0.0015260850006784121,19987.55,-0.00606676927131633,,,,,
2024-02-09,182.87589761415387,-0.01852726797230353,19961.5,-0.0013033113112912442,,,,,
2024-02-12,174.71869100881926,-0.0446051486923954,19675.2,-0.014342609523332328,,,,,
2024-02-13,175.9300628871747,0.006933270111863843,19782.9,0.005473896072212714,,,,,
2024-02-14,179.39897233448534,0.019717547930027557,19922.3,0.0070464896450974646,,,,,
2024-02-15,183.79747155489704,0.02451797333716499,20037.0,0.0057573673722410845,,,,,
2024-02-16,183.31762884746826,-0.002610714409558512,20164.9,0.006383191096471563,,,,,
2024-02-19,185.70610179340292,0.013029150338410789,20241.1,0.003778843435871204,,,,,
2024-02-20,185.26845648962635,-0.0023566554870849687,20271.9,0.0015216564317157566,,,,,
2024-02-21,181.8209025146578,-0.01860842390707551,20128.3,-0.007083697137416967,,,,,
