Date,Open,High,Low,Close,Volume,OI,Ticker,%change,Buy_Hold_Value,Quantity,Total_Portfolio_Value,Year-Month,Weight,Weight_Percent
2023-01-17,3514.55,3543.3,3456.5,3533.35,1718432,0,ADANIENT,,3.75,0.0010613157485106202,75.0,,0.0375,0.0375
2023-01-17,914.95,919.7,906.7,917.7,6904960,0,AXISBANK,,3.75,0.004086302713305002,75.0,,0.0375,0.0375
2023-01-17,185.6,186.75,179.3,181.8,18380191,0,BANKBARODA,,3.75,0.020627062706270627,75.0,,0.0375,0.0375
2023-01-17,79.9,80.2,78.5,79.8,9659104,0,BHEL,,3.75,0.04699248120300752,75.0,,0.0375,0.0375
2023-01-17,64.8,65.15,62.4,63.9,43562670,0,CANBK,,3.75,0.05868544600938967,75.0,,0.0375,0.0375
2023-01-17,305.0,320.5,294.0,320.5,2385361,0,FACT,,3.75,0.01170046801872075,75.0,,0.0375,0.0375
2023-01-17,49.06,49.06,48.43,48.5,3222233,0,GOLDBEES,,25.0,0.5154639175257731,25.0,2023-01,0.25,0.25
2023-01-17,501.0,501.75,488.35,492.9,312117,0,GRSE,,3.75,0.007608034083992697,75.0,,0.0375,0.0375
2023-01-17,289.7,290.55,285.25,287.65,867621,0,INDIANB,,3.75,0.013036676516600036,75.0,,0.0375,0.0375
2023-01-17,33.05,33.15,32.45,32.7,23809717,0,IRFC,,3.75,0.1146788990825688,75.0,,0.0375,0.0375
2023-01-17,57.8,57.8,55.0,56.15,5809598,0,J&KBANK,,3.75,0.06678539626001781,75.0,,0.0375,0.0375
2023-01-17,590.0,591.7,579.05,585.85,2648883,0,JINDALSTEL,,3.75,0.006400955876077494,75.0,,0.0375,0.0375
2023-01-17,244.65,245.9,240.3,244.05,606852,0,JSL,,3.75,0.015365703749231715,75.0,,0.0375,0.0375
2023-01-17,89.0,90.4,87.7,89.95,2030615,0,KARURVYSYA,,3.75,0.04168982768204558,75.0,,0.0375,0.0375
